version	num stations	likelihood lon	likelihood lat	likelihood mag	prior lon	prior lat	posterior lon	posterior lat	posterior mag
41.0	13.0	-121.357390083	36.7460120715	4.26341166881	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.26341166881
42.0	13.0	-121.357390083	36.7460120715	4.26765110309	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.26765110309
43.0	13.0	-121.357390083	36.7460120715	4.27870468259	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.27870468259
44.0	13.0	-121.357390083	36.7460120715	4.29252376088	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.29252376088
45.0	13.0	-121.357390083	36.7460120715	4.29540869659	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.29540869659
46.0	13.0	-121.357390083	36.7460120715	4.29540869659	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.29540869659
47.0	13.0	-121.357390083	36.7460120715	4.29715991257	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.29715991257
48.0	13.0	-121.357390083	36.7460120715	4.32278069589	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.32278069589
49.0	13.0	-121.357390083	36.7460120715	4.32278069589	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.32278069589
50.0	13.0	-121.357390083	36.7460120715	4.32278069589	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.32278069589
51.0	13.0	-121.357390083	36.7460120715	4.32278069589	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.32278069589
52.0	13.0	-121.357390083	36.7460120715	4.32278069589	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.32278069589
53.0	13.0	-121.357390083	36.7460120715	4.32863897198	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.32863897198
54.0	13.0	-121.357390083	36.7460120715	4.32863897198	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.32863897198
55.0	13.0	-121.357390083	36.7460120715	4.32312863153	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.32312863153
56.0	13.0	-121.357390083	36.7460120715	4.32866079907	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.32866079907
57.0	13.0	-121.357390083	36.7460120715	4.32866079907	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.32866079907
58.0	13.0	-121.357390083	36.7460120715	4.31805826469	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.31805826469
59.0	13.0	-121.357390083	36.7460120715	4.31805826469	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.31805826469
60.0	13.0	-121.357390083	36.7460120715	4.32100343136	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.32100343136
61.0	13.0	-121.357390083	36.7460120715	4.32100343136	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.32100343136
62.0	13.0	-121.357390083	36.7460120715	4.32100343136	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.32100343136
63.0	13.0	-121.357390083	36.7460120715	4.32100343136	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.32100343136
64.0	13.0	-121.357390083	36.7460120715	4.32100343136	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.32100343136
65.0	13.0	-121.357390083	36.7460120715	4.32100343136	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.32100343136
66.0	13.0	-121.357390083	36.7460120715	4.3061522194	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.3061522194
67.0	13.0	-121.357390083	36.7460120715	4.27525732115	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.27525732115
68.0	13.0	-121.357390083	36.7460120715	4.27525732115	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.27525732115
69.0	13.0	-121.357390083	36.7460120715	4.27525732115	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.27525732115
70.0	13.0	-121.357390083	36.7460120715	4.27525732115	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.27525732115
71.0	13.0	-121.357390083	36.7460120715	4.27525732115	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.27525732115
72.0	13.0	-121.357390083	36.7460120715	4.27873121015	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.27873121015
73.0	13.0	-121.357390083	36.7460120715	4.27873121015	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.27873121015
74.0	13.0	-121.357390083	36.7460120715	4.27873121015	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.27873121015
75.0	13.0	-121.357390083	36.7460120715	4.28369102115	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.28369102115
76.0	13.0	-121.357390083	36.7460120715	4.28369102115	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.28369102115
77.0	13.0	-121.357390083	36.7460120715	4.28369102115	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.28369102115
78.0	13.0	-121.357390083	36.7460120715	4.25054078256	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.25054078256
79.0	13.0	-121.357390083	36.7460120715	4.25305859256	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.25305859256
80.0	13.0	-121.357390083	36.7460120715	4.25305859256	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.25305859256
81.0	13.0	-121.357390083	36.7460120715	4.27220654069	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.27220654069
82.0	13.0	-121.357390083	36.7460120715	4.24040707384	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.24040707384
83.0	13.0	-121.357390083	36.7460120715	4.24093470656	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.24093470656
84.0	13.0	-121.357390083	36.7460120715	4.2283399905	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.2283399905
85.0	13.0	-121.357390083	36.7460120715	4.2283399905	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.2283399905
86.0	13.0	-121.357390083	36.7460120715	4.24125781226	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.24125781226
87.0	13.0	-121.357390083	36.7460120715	4.24301247962	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.24301247962
88.0	13.0	-121.357390083	36.7460120715	4.24307531815	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.24307531815
89.0	13.0	-121.357390083	36.7460120715	4.22888682985	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.22888682985
90.0	13.0	-121.357390083	36.7460120715	4.22888682985	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.22888682985
91.0	13.0	-121.357390083	36.7460120715	4.24052054568	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.24052054568
92.0	13.0	-121.357390083	36.7460120715	4.24052051152	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.24052051152
93.0	13.0	-121.357390083	36.7460120715	4.21544199637	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.21544199637
94.0	13.0	-121.357390083	36.7460120715	4.22067221532	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.22067221532
95.0	13.0	-121.357390083	36.7460120715	4.22067221532	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.22067221532
96.0	13.0	-121.357390083	36.7460120715	4.22067221532	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.22067221532
97.0	13.0	-121.357390083	36.7460120715	4.22067221532	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.22067221532
98.0	13.0	-121.357390083	36.7460120715	4.20335810879	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.20335810879
99.0	13.0	-121.357390083	36.7460120715	4.20335810879	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.20335810879
100.0	13.0	-121.357390083	36.7460120715	4.20335810879	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.20335810879
101.0	13.0	-121.357390083	36.7460120715	4.20041373578	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.20041373578
102.0	13.0	-121.357390083	36.7460120715	4.19410710072	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.19410710072
103.0	13.0	-121.357390083	36.7460120715	4.19410710072	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.19410710072
104.0	13.0	-121.357390083	36.7460120715	4.19779602072	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.19779602072
105.0	13.0	-121.357390083	36.7460120715	4.19779602072	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.19779602072
106.0	13.0	-121.357390083	36.7460120715	4.19967957072	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.19967957072
107.0	13.0	-121.357390083	36.7460120715	4.19967957072	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.19967957072
108.0	13.0	-121.357390083	36.7460120715	4.19967957072	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.19967957072
109.0	13.0	-121.357390083	36.7460120715	4.20688740072	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.20688740072
110.0	13.0	-121.357390083	36.7460120715	4.20686246657	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.20686246657
111.0	13.0	-121.357390083	36.7460120715	4.21145467157	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.21145467157
112.0	13.0	-121.357390083	36.7460120715	4.20649638007	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.20649638007
113.0	13.0	-121.357390083	36.7460120715	4.20649638007	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.20649638007
114.0	13.0	-121.357390083	36.7460120715	4.2080069917	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.2080069917
115.0	13.0	-121.357390083	36.7460120715	4.2080069917	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.2080069917
116.0	13.0	-121.357390083	36.7460120715	4.2080070203	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.2080070203
117.0	13.0	-121.357390083	36.7460120715	4.2080070203	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.2080070203
118.0	13.0	-121.357390083	36.7460120715	4.2080070203	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.2080070203
119.0	13.0	-121.357390083	36.7460120715	4.18168835218	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.18168835218
120.0	13.0	-121.357390083	36.7460120715	4.17919498189	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.17919498189
121.0	13.0	-121.357390083	36.7460120715	4.17919498189	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.17919498189
122.0	13.0	-121.357390083	36.7460120715	4.16407461734	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.16407461734
123.0	13.0	-121.357390083	36.7460120715	4.17495234478	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.17495234478
124.0	13.0	-121.357390083	36.7460120715	4.18328347499	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.18328347499
125.0	13.0	-121.357390083	36.7460120715	4.18328347499	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.18328347499
126.0	13.0	-121.357390083	36.7460120715	4.1857587584	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.1857587584
127.0	13.0	-121.357390083	36.7460120715	4.1857587584	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.1857587584
128.0	13.0	-121.357390083	36.7460120715	4.1857587584	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.1857587584
129.0	13.0	-121.357390083	36.7460120715	4.1857587584	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.1857587584
130.0	13.0	-121.357390083	36.7460120715	4.18365441788	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.18365441788
131.0	13.0	-121.357390083	36.7460120715	4.1833491898	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.1833491898
132.0	13.0	-121.357390083	36.7460120715	4.14548706866	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.14548706866
133.0	13.0	-121.357390083	36.7460120715	4.14548706866	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.14548706866
134.0	13.0	-121.357390083	36.7460120715	4.14889632116	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.14889632116
135.0	13.0	-121.357390083	36.7460120715	4.14889632116	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.14889632116
136.0	13.0	-121.357390083	36.7460120715	4.15126960616	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.15126960616
137.0	13.0	-121.357390083	36.7460120715	4.15586261539	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.15586261539
138.0	13.0	-121.357390083	36.7460120715	4.15298666926	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.15298666926
139.0	13.0	-121.357390083	36.7460120715	4.15298666926	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.15298666926
140.0	13.0	-121.357390083	36.7460120715	4.15570274134	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.15570274134
141.0	13.0	-121.357390083	36.7460120715	4.15729187659	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.15729187659
142.0	13.0	-121.357390083	36.7460120715	4.15729187659	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.15729187659
143.0	13.0	-121.357390083	36.7460120715	4.15729187659	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.15729187659
144.0	13.0	-121.357390083	36.7460120715	4.15303498526	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.15303498526
145.0	13.0	-121.357390083	36.7460120715	4.15465100399	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.15465100399
146.0	13.0	-121.357390083	36.7460120715	4.15465100399	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.15465100399
147.0	13.0	-121.357390083	36.7460120715	4.15465100399	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.15465100399
