eventid	version	sta	net	lat	lon	cluster	dist	tt	time	time check	active	trig	clu	ctrig
900	43	5054	NP	32.6932	-115.3382	-	35.62	5.9	2018-11-09T05:57:21	28.0	1	1	0	0
900	43	CLI2	CI	33.1211	-115.5802	-	87.93	14.7	2018-11-09T05:57:21	20.0	1	0	0	0
900	43	CRR	CI	32.8868	-115.9692	-	88.21	14.7	2018-11-09T05:57:21	20.0	1	1	0	0
900	43	AGM	CI	32.8447	-114.7843	-	66.79	11.1	2018-11-09T05:57:21	23.0	1	0	0	0
900	43	5053	NP	32.6695	-115.4925	-	39.58	6.6	2018-11-09T05:57:21	28.0	1	1	0	0
900	43	5058	NP	32.7517	-115.5952	-	52.7	8.8	2018-11-09T05:57:21	26.0	1	1	0	0
900	43	GUVIX	BC	32.3029	-115.076	-	17.91	3.0	2018-11-09T05:57:20	30.0	1	1	0	0
900	43	UABX	BC	32.6316	-115.4447	-	33.55	5.6	2018-11-09T05:57:18	26.0	1	1	0	0
900	43	SNR	CI	32.8619	-115.436	-	56.24	9.4	2018-11-09T05:57:21	25.0	1	1	0	0
900	43	GLA	CI	33.0515	-114.8271	-	83.77	14.0	2018-11-09T05:57:21	20.0	1	1	0	0
900	43	RMX	BC	32.5535	-116.0288	-	76.28	12.7	2018-11-09T05:57:18	19.0	1	0	0	0
900	43	CPX	BC	32.4195	-115.305	-	7.21	1.2	2018-11-09T05:57:19	32.0	1	1	0	0
900	57	OCP	CI	32.7475	-116.0193	-	83.41	13.9	2018-11-09T05:57:27	27.0	1	1	0	0
900	57	WMD	CI	33.0383	-115.5819	-	79.49	13.2	2018-11-09T05:57:27	27.0	1	1	0	0
900	57	COK2	CI	32.8505	-115.7284	-	69.13	11.5	2018-11-09T05:57:27	29.0	1	0	0	0
900	57	286	NP	32.9548	-115.8243	-	83.76	14.0	2018-11-09T05:57:26	25.0	1	0	0	0
900	57	5056	NP	32.9598	-115.3202	-	64.51	10.8	2018-11-09T05:57:27	30.0	1	0	0	0
900	57	WES	CI	32.759	-115.7316	-	62.1	10.3	2018-11-09T05:57:28	31.0	1	1	0	0
900	57	IMP	CI	32.9015	-115.5607	-	64.91	10.8	2018-11-09T05:57:28	31.0	1	1	0	0
900	57	SWS	CI	32.9451	-115.7999	-	81.46	13.6	2018-11-09T05:57:28	28.0	1	0	0	0
900	57	IKP	CI	32.6501	-116.1095	-	86.65	14.4	2018-11-09T05:57:28	27.0	1	1	0	0
900	57	COA	CI	32.8634	-115.1234	-	54.49	9.1	2018-11-09T05:57:28	32.0	1	1	0	0
900	57	DRE	CI	32.8053	-115.4468	-	50.71	8.5	2018-11-09T05:57:28	33.0	1	1	0	0
900	57	SJX	BC	32.0048	-115.948	-	78.73	13.1	2018-11-09T05:57:22	23.0	1	1	0	0
900	57	5272	NP	32.7081	-115.0926	-	38.68	6.4	2018-11-09T05:57:27	34.0	1	0	0	0
900	57	EMS	CI	32.7392	-114.9852	-	46.25	7.7	2018-11-09T05:57:27	33.0	1	1	0	0
900	57	YUH2	CI	32.6475	-115.9223	-	70.3	11.7	2018-11-09T05:57:27	29.0	1	1	0	0
900	57	5054	NP	32.6932	-115.3382	-	35.62	5.9	2018-11-09T05:57:27	34.0	1	1	0	0
900	57	CLI2	CI	33.1211	-115.5802	-	87.93	14.7	2018-11-09T05:57:27	26.0	1	0	0	0
900	57	CRR	CI	32.8868	-115.9692	-	88.21	14.7	2018-11-09T05:57:27	26.0	1	1	0	0
900	57	AGM	CI	32.8447	-114.7843	-	66.79	11.1	2018-11-09T05:57:27	29.0	1	0	0	0
900	57	5053	NP	32.6695	-115.4925	-	39.58	6.6	2018-11-09T05:57:27	34.0	1	1	0	0
900	57	5058	NP	32.7517	-115.5952	-	52.7	8.8	2018-11-09T05:57:27	32.0	1	1	0	0
900	57	GUVIX	BC	32.3029	-115.076	-	17.91	3.0	2018-11-09T05:57:26	36.0	1	1	0	0
900	57	UABX	BC	32.6316	-115.4447	-	33.55	5.6	2018-11-09T05:57:22	30.0	1	1	0	0
900	57	SNR	CI	32.8619	-115.436	-	56.24	9.4	2018-11-09T05:57:28	32.0	1	1	0	0
900	57	GLA	CI	33.0515	-114.8271	-	83.77	14.0	2018-11-09T05:57:27	26.0	1	1	0	0
900	57	RMX	BC	32.5535	-116.0288	-	76.28	12.7	2018-11-09T05:57:23	23.0	1	0	0	0
900	57	CPX	BC	32.4195	-115.305	-	7.21	1.2	2018-11-09T05:57:25	37.0	1	1	0	0
900	59	SLB	CI	33.4852	-115.8664	-	135.69	22.6	2018-11-09T05:57:29	20.0	1	0	0	0
900	59	MONP2	AZ	32.892	-116.4223	-	124.22	20.7	2018-11-09T05:57:28	21.0	1	0	0	0
900	59	OCP	CI	32.7475	-116.0193	-	83.41	13.9	2018-11-09T05:57:28	28.0	1	1	0	0
900	59	WMD	CI	33.0383	-115.5819	-	79.49	13.2	2018-11-09T05:57:28	28.0	1	1	0	0
900	59	COK2	CI	32.8505	-115.7284	-	69.13	11.5	2018-11-09T05:57:29	31.0	1	0	0	0
900	59	286	NP	32.9548	-115.8243	-	83.76	14.0	2018-11-09T05:57:28	27.0	1	0	0	0
900	59	SAL	CI	33.2801	-115.9858	-	121.58	20.3	2018-11-09T05:57:29	22.0	1	0	0	0
900	59	5056	NP	32.9598	-115.3202	-	64.51	10.8	2018-11-09T05:57:28	31.0	1	0	0	0
900	59	WES	CI	32.759	-115.7316	-	62.1	10.3	2018-11-09T05:57:29	32.0	1	1	0	0
900	59	IMP	CI	32.9015	-115.5607	-	64.91	10.8	2018-11-09T05:57:29	32.0	1	1	0	0
900	59	SWS	CI	32.9451	-115.7999	-	81.46	13.6	2018-11-09T05:57:29	29.0	1	0	0	0
900	59	IKP	CI	32.6501	-116.1095	-	86.65	14.4	2018-11-09T05:57:29	28.0	1	1	0	0
900	59	RXH	CI	33.1831	-115.6226	-	95.8	16.0	2018-11-09T05:57:29	26.0	1	0	0	0
900	59	SWP	CI	32.7918	-116.0972	-	92.16	15.4	2018-11-09T05:57:29	27.0	1	0	0	0
900	59	COA	CI	32.8634	-115.1234	-	54.49	9.1	2018-11-09T05:57:29	33.0	1	1	0	0
900	59	DRE	CI	32.8053	-115.4468	-	50.71	8.5	2018-11-09T05:57:29	34.0	1	1	0	0
900	59	ERR	CI	33.1165	-115.8227	-	97.99	16.3	2018-11-09T05:57:29	26.0	1	0	0	0
900	59	SLH	CI	33.1927	-116.254	-	130.62	21.8	2018-11-09T05:57:26	18.0	1	0	0	0
900	59	SJX	BC	32.0048	-115.948	-	78.73	13.1	2018-11-09T05:57:25	25.0	1	1	0	0
900	59	5272	NP	32.7081	-115.0926	-	38.68	6.4	2018-11-09T05:57:28	35.0	1	0	0	0
900	59	EMS	CI	32.7392	-114.9852	-	46.25	7.7	2018-11-09T05:57:29	35.0	1	1	0	0
900	59	5062	NP	33.1775	-115.6156	-	94.98	15.8	2018-11-09T05:57:29	27.0	1	0	0	0
900	59	YUH2	CI	32.6475	-115.9223	-	70.3	11.7	2018-11-09T05:57:29	31.0	1	1	0	0
900	59	CPO	CI	32.6427	-116.4851	-	120.15	20.0	2018-11-09T05:57:29	22.0	1	0	0	0
